"prfInformationCarrier";"prfYear";"prfPrdOilNetMillSm3";"prfPrdGasNetBillSm3";"prfPrdNGLNetMillSm3";"prfPrdCondensateNetMillSm3";"prfPrdOeNetMillSm3";"prfPrdProducedWaterInFieldMillSm3";"prfNpdidInformationCarrier"
"OSEBERG ØST";"2014";"0.377";"0.007";"0.000";"0.000";"0.383";"1.604";"43639"
"OSEBERG ØST";"2015";"0.386";"0.007";"0.000";"0.000";"0.393";"2.086";"43639"
"OSEBERG ØST";"2016";"0.458";"0.008";"0.000";"0.000";"0.466";"2.331";"43639"
"OSEBERG ØST";"2017";"0.800";"0.015";"0.000";"0.000";"0.815";"1.582";"43639"
"OSEBERG ØST";"2018";"0.536";"0.010";"0.000";"0.000";"0.546";"1.329";"43639"
"OSEBERG ØST";"2019";"0.455";"0.008";"0.000";"0.000";"0.464";"1.341";"43639"
"OSEBERG ØST";"2020";"0.428";"0.008";"0.000";"0.000";"0.436";"1.569";"43639"
"OSEBERG ØST";"2021";"0.320";"0.006";"0.000";"0.000";"0.327";"1.247";"43639"
"OSEBERG ØST";"2022";"0.246";"0.005";"0.000";"0.000";"0.251";"1.255";"43639"
"OSEBERG ØST";"2023";"0.269";"0.005";"0.000";"0.000";"0.274";"1.141";"43639"
"OSELVAR";"2012";"0.151";"0.000";"0.007";"0.000";"0.158";"0.004";"5506919"
"OSELVAR";"2013";"0.150";"0.000";"0.007";"0.000";"0.157";"0.003";"5506919"
"OSELVAR";"2014";"0.126";"0.000";"0.007";"0.000";"0.133";"0.005";"5506919"
"OSELVAR";"2015";"0.090";"0.000";"0.006";"0.000";"0.096";"0.005";"5506919"
"OSELVAR";"2016";"0.074";"0.000";"0.005";"0.000";"0.079";"0.005";"5506919"
"OSELVAR";"2017";"0.070";"0.000";"0.005";"0.000";"0.075";"0.005";"5506919"
"OSELVAR";"2018";"0.016";"0.000";"0.001";"0.000";"0.017";"0.002";"5506919"
"REV";"2009";"0.240";"0.628";"0.000";"0.000";"0.869";"0.000";"4467554"
